MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
315,314,3.978856232,0.006828004,2.1483302,6150016,8
316,315,3.985684236,0.006828004,2.1551644,6150016,8
317,316,3.99251224,0.006828004,2.1619612,6150016,8
318,317,3.999340248,0.006828008,2.1688079,6150016,8
319,318,4.006168252,0.006828004,2.1756363,6150016,8
320,319,4.012996256,0.006828004,2.1824771,6150016,8
321,320,4.01982426,0.006828004,2.1893072,6150016,8
322,321,4.026652264,0.006828004,2.19615,6150016,8
323,322,4.033480268,0.006828004,2.2029661,6150016,8
324,323,4.040308276,0.006828008,2.2097967,6150016,8
325,324,4.04713728,0.006829004,2.2166439,6150016,8
326,325,4.053965284,0.006828004,2.2234302,6150016,8
327,326,4.060793288,0.006828004,2.2303327,6150016,8
328,327,4.067621292,0.006828004,2.2370958,6150016,8
329,328,4.0744493,0.006828008,2.2439072,6150016,8
330,329,4.081277304,0.006828004,2.2507389,6150016,8
331,330,4.088105308,0.006828004,2.2575601,6150016,8
332,331,4.094933312,0.006828004,2.2644125,6150016,8
333,332,4.101761316,0.006828004,2.2712577,6150016,8
334,333,4.10858932,0.006828004,2.2780689,6150016,8
335,334,4.115417328,0.006828008,2.2848798,6150016,8
336,335,4.122245332,0.006828004,2.2917212,6150016,8
337,336,4.129073336,0.006828004,2.2985442,6150016,8
338,337,4.13590134,0.006828004,2.3053888,6150016,8
339,338,4.142729344,0.006828004,2.3121952,6150016,8
340,339,4.149557352,0.006828008,2.3190235,6150016,8
341,340,4.156385356,0.006828004,2.3258508,6150016,8
342,341,4.16321336,0.006828004,2.3327113,6150016,8
343,342,4.170042364,0.006829004,2.3395401,6150016,8
344,343,4.176870368,0.006828004,2.3464354,6150016,8
345,344,4.183698372,0.006828004,2.3531725,6150016,8
346,345,4.19052638,0.006828008,2.359976,6150016,8
347,346,4.197354384,0.006828004,2.3668053,6150016,8
348,347,4.204182388,0.006828004,2.3736517,6150016,8
349,348,4.211010392,0.006828004,2.3804784,6150016,8
350,349,4.217838396,0.006828004,2.3873019,6150016,8
351,350,4.2246664,0.006828004,2.3941038,6150016,8
352,351,4.231494408,0.006828008,2.4011007,6150016,8
353,352,4.238322412,0.006828004,2.4077971,6150016,8
354,353,4.245150416,0.006828004,2.4146506,6150016,8
355,354,4.25197842,0.006828004,2.4214558,6150016,8
356,355,4.258806424,0.006828004,2.4283185,6150016,8
357,356,4.265634428,0.006828004,2.4350868,6150016,8
358,357,4.272462436,0.006828008,2.4419225,6150016,8
359,358,4.27929044,0.006828004,2.4488549,6150016,8
360,359,4.286119444,0.006829004,2.4556324,6150016,8
361,360,4.292947448,0.006828004,2.4624224,6150016,8
362,361,4.299775452,0.006828004,2.469245,6150016,8
363,362,4.306603456,0.006828004,2.4760554,6150016,8
364,363,4.313431464,0.006828008,2.4828877,6150016,8
365,364,4.320259468,0.006828004,2.4897171,6150016,8
366,365,4.327087472,0.006828004,2.496553,6150016,8
367,366,4.333915476,0.006828004,2.5033657,6150016,8
368,367,4.34074348,0.006828004,2.5102085,6150016,8
369,368,4.347571484,0.006828004,2.5170098,6150016,8
370,369,4.354399492,0.006828008,2.5238584,6150016,8
371,370,4.361227496,0.006828004,2.5306772,6150016,8
